시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:13:42,064260,매수,9020,36,테스트매수-거래량급증(RSI:50.0),0.00%
2025-09-01 11:13:48,441270,매수,12250,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:13:49,201490,매수,5890,56,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:06,064260,매수,9000,37,테스트매수-거래량급증(RSI:50.0),0.00%
2025-09-01 11:18:06,484590,매수,18250,18,"RSI:20.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:08,097230,매수,21100,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:08,064260,매도,9000,37,RSI과매수,0.00%
2025-09-01 11:18:10,064260,매수,8990,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:13,064260,매도,9000,37,RSI과매수,0.11%
2025-09-01 11:18:15,441270,매수,12210,27,"RSI:40.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:18,484590,매도,18270,18,RSI과매수,0.11%
2025-09-01 11:18:27,484590,매수,18280,18,"RSI:57.1, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:31,097230,매도,21150,15,RSI과매수,0.24%
2025-09-01 11:18:33,064260,매수,9000,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:18:33,484590,매도,18270,18,RSI과매수,-0.05%
2025-09-01 11:18:38,201490,매수,5840,57,"RSI:57.1, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:06,441270,매도,12230,27,RSI과매수,0.16%
2025-09-01 11:19:06,484590,매수,18200,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:08,484590,매도,18220,18,RSI과매수,0.11%
2025-09-01 11:19:08,484590,매수,18240,18,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:23,484590,매도,18250,18,RSI과매수,0.05%
2025-09-01 11:19:28,097230,매수,21050,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:33,097230,매도,21050,15,RSI과매수,0.00%
2025-09-01 11:19:36,054540,매수,9460,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:46,054540,매도,9480,35,RSI과매수,0.21%
2025-09-01 11:19:48,484590,매수,18240,18,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:19:51,064260,매도,8980,37,RSI과매수,-0.22%
2025-09-01 11:19:52,097230,매수,21100,15,"RSI:57.1, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:12,097230,매도,21125,15,RSI과매수,0.12%
2025-09-01 11:20:15,064260,매수,9010,36,"RSI:55.6, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:20,201490,매도,5840,57,RSI과매수,0.00%
2025-09-01 11:20:21,441270,매수,12280,27,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:29,484590,매도,18200,18,RSI과매수,-0.22%
2025-09-01 11:20:30,097230,매수,21125,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:34,097230,매도,21150,15,RSI과매수,0.12%
2025-09-01 11:20:36,054540,매수,9460,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:40,064260,매도,8960,36,RSI과매수,-0.55%
2025-09-01 11:20:40,064260,매수,8970,37,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:49,064260,매도,8970,37,RSI과매수,0.00%
2025-09-01 11:20:50,064260,매수,8960,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:20:55,064260,매도,8980,37,RSI과매수,0.22%
2025-09-01 11:20:58,054540,매도,9480,35,RSI과매수,0.21%
2025-09-01 11:20:59,064260,매수,8960,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:00,054540,매수,9460,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:09,054540,매도,9460,35,RSI과매수,0.00%
2025-09-01 11:21:11,484590,매수,18250,18,"RSI:57.1, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:20,064260,매도,8960,37,RSI과매수,0.00%
2025-09-01 11:21:21,054540,매수,9460,35,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:25,484590,매도,18270,18,RSI과매수,0.11%
2025-09-01 11:21:26,441270,매도,12300,27,RSI과매수,0.16%
2025-09-01 11:21:26,484590,매수,18270,18,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:27,441270,매수,12330,27,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:27,484590,매도,18270,18,RSI과매수,0.00%
2025-09-01 11:21:28,441270,매도,12330,27,RSI과매수,0.00%
2025-09-01 11:21:30,054540,매도,9470,35,RSI과매수,0.11%
2025-09-01 11:21:30,201490,매수,5830,57,테스트매수-거래량급증(RSI:50.0),0.00%
2025-09-01 11:21:32,484590,매수,18300,18,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:35,441270,매수,12340,27,"RSI:55.6, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:39,484590,매도,18320,18,RSI과매수,0.11%
2025-09-01 11:21:41,054540,매수,9470,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:21:43,441270,매도,12340,27,RSI과매수,0.00%
2025-09-01 11:21:45,097230,매수,21100,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:10,054540,매도,9480,35,RSI과매수,0.11%
2025-09-01 11:22:11,441270,매수,12340,27,"RSI:57.1, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:22,441270,매도,12350,27,RSI과매수,0.08%
2025-09-01 11:22:22,064260,매수,8900,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:30,097230,매도,21100,15,RSI과매수,0.00%
2025-09-01 11:22:31,484590,매수,18390,18,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:37,484590,매도,18410,18,RSI과매수,0.11%
2025-09-01 11:22:37,484590,매수,18410,18,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:38,484590,매도,18420,18,RSI과매수,0.05%
2025-09-01 11:22:38,441270,매수,12300,27,"RSI:20.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:40,064260,매도,8900,37,RSI과매수,0.00%
2025-09-01 11:22:44,064260,매수,8890,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:46,441270,매도,12340,27,RSI과매수,0.33%
2025-09-01 11:22:46,484590,매수,18400,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:54,484590,매도,18380,18,RSI과매수,-0.11%
2025-09-01 11:22:54,484590,매수,18380,18,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:08,064260,매도,8880,37,RSI과매수,-0.11%
2025-09-01 11:23:10,441270,매수,12340,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:37,201490,매도,5830,57,RSI과매수,0.00%
2025-09-01 11:23:39,064260,매수,8890,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:47,064260,매도,8900,37,RSI과매수,0.11%
2025-09-01 11:23:48,054540,매수,9540,34,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:52,054540,매도,9540,34,RSI과매수,0.00%
2025-09-01 11:23:54,064260,매수,8910,37,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:04,064260,매도,8900,37,RSI과매수,-0.11%
2025-09-01 11:24:06,064260,매수,8900,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:11,484590,매도,18370,18,RSI과매수,-0.05%
2025-09-01 11:24:11,054540,매수,9530,34,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:14,064260,매도,8900,37,RSI과매수,0.00%
2025-09-01 11:24:15,484590,매수,18360,18,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:17,484590,매도,18370,18,RSI과매수,0.05%
2025-09-01 11:24:18,484590,매수,18390,18,"RSI:70.0, MA돌파, 거래량급증",0.00%
